tradeDate,nav,change,changePercent
2022-09-01,5.62,,
2022-08-31,5.63,-0.03,-0.53004
2022-08-30,5.66,,
2022-08-29,5.71,-0.01,-0.17483
2022-08-28,5.72,-0.05,-0.86655
2022-08-25,5.77,0.01,0.17361
2022-08-24,5.76,0.01,0.17391
2022-08-23,5.75,0.0,0.0
2022-08-22,5.75,-0.03,-0.51903
2022-08-21,5.78,-0.04,-0.68729
2022-08-18,5.82,-0.03,-0.51282
2022-08-17,5.85,-0.01,-0.17065
2022-08-16,5.86,-0.03,-0.50934
2022-08-15,5.89,,
2022-08-11,5.91,0.0,0.0
2022-08-10,5.91,0.05,0.85324
2022-08-09,5.86,0.0,0.0
2022-08-08,5.86,0.0,0.0
2022-08-07,5.86,0.01,0.17094
2022-08-04,5.85,-0.01,-0.17065
2022-08-03,5.86,0.02,0.34247
2022-08-02,5.84,0.01,0.17153
2022-08-01,5.83,0.02,0.34423
2022-07-31,5.81,0.03,0.51903
2022-07-28,5.78,0.03,0.52174
2022-07-27,5.75,0.03,0.52448
2022-07-26,5.72,-0.01,-0.17452
2022-07-25,5.73,-0.01,-0.17422
2022-07-24,5.74,0.02,0.34965
2022-07-21,5.72,0.04,0.70423
2022-07-20,5.68,0.03,0.53097
2022-07-19,5.65,0.03,0.53381
2022-07-18,5.62,0.01,0.17825
2022-07-17,5.61,0.05,0.89928
2022-07-14,5.56,-0.02,-0.35842
2022-07-13,5.58,-0.02,-0.35714
2022-07-12,5.6,-0.01,-0.17825
2022-07-11,5.61,0.01,0.17857
2022-07-10,5.6,0.01,0.17889
2022-07-07,5.59,0.03,0.53957
2022-07-06,5.56,0.02,0.36101
2022-07-05,5.54,0.02,0.36232
2022-07-04,5.52,0.0,0.0
2022-06-30,5.52,0.01,0.18149
2022-06-29,5.51,-0.05,-0.89928
2022-06-28,5.56,-0.06,-1.06762
2022-06-27,5.62,0.0,0.0
2022-06-26,5.62,0.02,0.35714
2022-06-23,5.6,0.02,0.35842
2022-06-21,5.58,-0.04,-0.71174
2022-06-20,5.62,0.02,0.35714
2022-06-16,5.6,0.0,0.0
2022-06-15,5.6,-0.02,-0.35587
2022-06-14,5.62,-0.02,-0.35461
2022-06-13,5.64,-0.08,-1.3986
2022-06-12,5.72,-0.12,-2.05479
2022-06-09,5.84,-0.03,-0.51107
2022-06-08,5.87,-0.02,-0.33956
2022-06-07,5.89,0.0,0.0
2022-06-06,5.89,-0.04,-0.67454
2022-06-02,5.93,-0.01,-0.16835
2022-06-01,5.94,-0.02,-0.33557
2022-05-31,5.96,0.01,0.16807
2022-05-30,5.95,0.01,0.16835
2022-05-26,5.94,0.16,2.76817
2022-05-24,5.78,0.03,0.52174
2022-05-23,5.75,-0.01,-0.17361
2022-05-22,5.76,0.0,0.0
2022-05-19,5.76,0.02,0.34843
2022-05-18,5.74,-0.05,-0.86356
2022-05-17,5.79,-0.03,-0.51546
2022-05-16,5.82,0.01,0.17212
2022-05-15,5.81,-0.03,-0.5137
2022-05-12,5.84,-0.01,-0.17094
2022-05-11,5.85,-0.02,-0.34072
2022-05-10,5.87,-0.01,-0.17007
2022-05-09,5.88,-0.07,-1.17647
2022-05-05,5.95,-0.07,-1.16279
2022-05-04,6.02,0.02,0.33333
2022-05-03,6.0,0.01,0.16694
2022-05-02,5.99,-0.01,-0.16667
2022-05-01,6.0,-0.04,-0.66225
2022-04-28,6.04,-0.02,-0.33003
2022-04-27,6.06,-0.01,-0.16474
2022-04-26,6.07,-0.02,-0.32841
2022-04-25,6.09,0.03,0.49505
2022-04-24,6.06,-0.04,-0.65574
2022-04-21,6.1,-0.04,-0.65147
2022-04-20,6.14,0.02,0.3268
2022-04-19,6.12,0.01,0.16367
2022-04-18,6.11,-0.06,-0.97245
2022-04-13,6.17,0.01,0.16234
2022-04-12,6.16,0.01,0.1626
2022-04-11,6.15,-0.01,-0.16234
2022-04-10,6.16,-0.03,-0.48465
2022-04-07,6.19,-0.03,-0.48232
2022-04-06,6.22,-0.01,-0.16051
2022-04-05,6.23,-0.06,-0.9539
2022-04-04,6.29,0.02,0.31898
2022-04-03,6.27,-0.01,-0.15924
2022-03-31,6.28,0.0,0.0
2022-03-30,6.28,0.0,0.0
2022-03-29,6.28,0.03,0.48
2022-03-28,6.25,0.03,0.48232
2022-03-27,6.22,-0.02,-0.32051
2022-03-24,6.24,0.01,0.16051
2022-03-23,6.23,0.0,0.0
2022-03-22,6.23,0.0,0.0
2022-03-21,6.23,-0.03,-0.47923
2022-03-20,6.26,0.0,0.0
2022-03-17,6.26,0.02,0.32051
2022-03-16,6.24,0.03,0.48309
2022-03-15,6.21,0.04,0.6483
2022-03-14,6.17,-0.07,-1.12179
2022-03-13,6.24,-0.04,-0.63694
2022-03-10,6.28,-0.02,-0.31746
2022-03-09,6.3,-0.01,-0.15848
2022-03-08,6.31,0.0,0.0
2022-03-07,6.31,-0.04,-0.62992
2022-03-06,6.35,-0.02,-0.31397
2022-03-03,6.37,-0.03,-0.46875
2022-03-02,6.4,0.02,0.31348
2022-03-01,6.38,-0.01,-0.15649
2022-02-28,6.39,0.04,0.62992
2022-02-27,6.35,0.01,0.15773
2022-02-24,6.34,0.06,0.95541
2022-02-23,6.28,-0.05,-0.78989
2022-02-22,6.33,0.01,0.15823
2022-02-21,6.32,0.0,0.0
2022-02-17,6.32,-0.01,-0.15798
2022-02-16,6.33,0.01,0.15823
2022-02-15,6.32,0.01,0.15848
2022-02-14,6.31,-0.01,-0.15823
2022-02-13,6.32,-0.07,-1.09546
2022-02-10,6.39,-0.04,-0.62208
2022-02-09,6.43,-0.02,-0.31008
2022-02-08,6.45,0.02,0.31104
2022-02-07,6.43,-0.02,-0.31008
2022-02-06,6.45,0.01,0.15528
2022-02-03,6.44,-0.03,-0.46368
2022-02-02,6.47,-0.02,-0.30817
2022-02-01,6.49,0.02,0.30912
2022-01-31,6.47,0.02,0.31008
2022-01-30,6.45,0.0,0.0
2022-01-27,6.45,-0.06,-0.92166
2022-01-26,6.51,-0.03,-0.45872
2022-01-25,6.54,0.02,0.30675
2022-01-24,6.52,-0.02,-0.30581
2022-01-23,6.54,-0.02,-0.30488
2022-01-20,6.56,-0.02,-0.30395
2022-01-19,6.58,0.02,0.30488
2022-01-18,6.56,-0.03,-0.45524
2022-01-17,6.59,-0.05,-0.75301
2022-01-13,6.64,-0.01,-0.15038
2022-01-12,6.65,0.01,0.1506
2022-01-11,6.64,0.03,0.45386
2022-01-10,6.61,0.0,0.0
2022-01-09,6.61,-0.02,-0.30166
2022-01-06,6.63,-0.01,-0.1506
2022-01-05,6.64,-0.03,-0.44978
2022-01-04,6.67,0.0,0.0
2022-01-03,6.67,-0.01,-0.1497
2022-01-02,6.68,0.0,0.0
2021-12-30,6.68,0.0,0.0
2021-12-29,6.68,-0.01,-0.14948
2021-12-28,6.69,0.01,0.1497
2021-12-27,6.68,0.02,0.3003
2021-12-26,6.66,0.0,0.0
2021-12-22,6.66,0.02,0.3012
2021-12-21,6.64,0.01,0.15083
2021-12-20,6.63,0.01,0.15106
2021-12-19,6.62,-0.01,-0.15083
2021-12-16,6.63,-0.02,-0.30075
2021-12-15,6.65,0.01,0.1506
2021-12-14,6.64,-0.03,-0.44978
2021-12-13,6.67,-0.01,-0.1497
2021-12-12,6.68,0.0,0.0
2021-12-09,6.68,0.0,0.0
2021-12-08,6.68,-0.01,-0.14948
2021-12-07,6.69,0.02,0.29985
2021-12-06,6.67,0.04,0.60332
2021-12-05,6.63,0.0,0.0
2021-12-02,6.63,0.02,0.30257
2021-12-01,6.61,-0.01,-0.15106
2021-11-30,6.62,0.01,0.15129
2021-11-29,6.61,0.01,0.15152
2021-11-28,6.6,-0.01,-0.15129
2021-11-25,6.61,-0.03,-0.45181
2021-11-23,6.64,-0.02,-0.3003
2021-11-22,6.66,-0.01,-0.14993
2021-11-21,6.67,-0.01,-0.1497
2021-11-18,6.68,0.0,0.0
2021-11-17,6.68,0.0,0.0
2021-11-16,6.68,-0.01,-0.14948
2021-11-15,6.69,-0.01,-0.14925
2021-11-14,6.7,-0.04,-0.59347
2021-11-11,6.74,-0.01,-0.14815
2021-11-09,6.75,-0.01,-0.14793
2021-11-08,6.76,0.01,0.14815
2021-11-07,6.75,0.0,0.0
2021-11-04,6.75,0.03,0.44643
2021-11-03,6.72,0.01,0.14903
2021-11-02,6.71,0.0,0.0
2021-11-01,6.71,0.0,0.0
2021-10-28,6.71,0.0,0.0
2021-10-27,6.71,0.0,0.0
2021-10-26,6.71,0.0,0.0
2021-10-25,6.71,0.0,0.0
2021-10-24,6.71,-0.01,-0.14881
2021-10-21,6.72,0.0,0.0
2021-10-20,6.72,0.0,0.0
2021-10-19,6.72,0.0,0.0
2021-10-18,6.72,0.0,0.0
2021-10-17,6.72,0.0,0.0
2021-10-14,6.72,-0.02,-0.29674
2021-10-13,6.74,0.01,0.14859
2021-10-12,6.73,0.0,0.0
2021-10-11,6.73,-0.01,-0.14837
2021-10-07,6.74,0.0,0.0
2021-10-06,6.74,0.0,0.0
2021-10-05,6.74,-0.01,-0.14815
2021-10-04,6.75,0.0,0.0
2021-10-03,6.75,-0.01,-0.14793
2021-09-30,6.76,0.0,0.0
2021-09-29,6.76,0.01,0.14815
2021-09-28,6.75,0.0,0.0
2021-09-27,6.75,-0.01,-0.14793
2021-09-26,6.76,-0.01,-0.14771
2021-09-23,6.77,-0.01,-0.14749
2021-09-22,6.78,0.01,0.14771
2021-09-21,6.77,0.01,0.14793
2021-09-20,6.76,-0.01,-0.14771
2021-09-19,6.77,-0.02,-0.29455
2021-09-16,6.79,0.0,0.0
2021-09-15,6.79,0.01,0.14749
2021-09-14,6.78,-0.04,-0.58651
2021-09-13,6.82,0.01,0.14684
2021-09-12,6.81,0.0,0.0
2021-09-09,6.81,0.01,0.14706
2021-09-08,6.8,0.0,0.0
2021-09-07,6.8,0.01,0.14728
2021-09-06,6.79,-0.01,-0.14706
2021-09-02,6.8,0.01,0.14728
2021-09-01,6.79,0.0,0.0
2021-08-31,6.79,0.01,0.14749
2021-08-30,6.78,0.01,0.14771
2021-08-29,6.77,0.02,0.2963
2021-08-26,6.75,0.0,0.0
2021-08-25,6.75,0.0,0.0
2021-08-24,6.75,0.01,0.14837
2021-08-23,6.74,0.02,0.29762
2021-08-22,6.72,0.01,0.14903
2021-08-19,6.71,0.0,0.0
2021-08-18,6.71,-0.01,-0.14881
2021-08-17,6.72,0.0,0.0
2021-08-16,6.72,0.0,0.0
2021-08-15,6.72,-0.04,-0.59172
2021-08-12,6.76,0.0,0.0
2021-08-11,6.76,0.0,0.0
2021-08-10,6.76,-0.01,-0.14771
2021-08-09,6.77,0.0,0.0
2021-08-08,6.77,-0.01,-0.14749
2021-08-05,6.78,0.0,0.0
2021-08-04,6.78,0.0,0.0
2021-08-03,6.78,-0.01,-0.14728
2021-08-02,6.79,-0.01,-0.14706
2021-08-01,6.8,0.0,0.0
2021-07-29,6.8,0.01,0.14728
2021-07-28,6.79,0.0,0.0
2021-07-27,6.79,-0.01,-0.14706
2021-07-26,6.8,0.0,0.0
2021-07-25,6.8,0.0,0.0
2021-07-22,6.8,0.0,0.0
2021-07-21,6.8,0.02,0.29499
2021-07-20,6.78,0.03,0.44444
2021-07-19,6.75,-0.02,-0.29542
2021-07-18,6.77,-0.02,-0.29455
2021-07-15,6.79,-0.01,-0.14706
2021-07-14,6.8,-0.05,-0.72993
2021-07-13,6.85,0.0,0.0
2021-07-12,6.85,0.01,0.1462
2021-07-11,6.84,0.0,0.0
2021-07-08,6.84,0.0,0.0
2021-07-07,6.84,-0.01,-0.14599
2021-07-06,6.85,0.01,0.1462
2021-07-05,6.84,0.0,0.0
2021-07-01,6.84,0.01,0.14641
2021-06-30,6.83,0.0,0.0
2021-06-29,6.83,0.01,0.14663
2021-06-28,6.82,0.0,0.0
2021-06-27,6.82,0.01,0.14684
2021-06-24,6.81,0.01,0.14706
2021-06-23,6.8,0.01,0.14728
2021-06-21,6.79,0.0,0.0
2021-06-20,6.79,0.0,0.0
2021-06-17,6.79,-0.01,-0.14706
2021-06-16,6.8,-0.01,-0.14684
2021-06-15,6.81,0.0,0.0
2021-06-14,6.81,-0.03,-0.4386
2021-06-13,6.84,0.0,0.0
2021-06-10,6.84,0.03,0.44053
2021-06-09,6.81,0.0,0.0
2021-06-08,6.81,0.02,0.29455
2021-06-07,6.79,0.01,0.14749
2021-06-06,6.78,0.0,0.0
2021-06-03,6.78,0.01,0.14771
2021-06-02,6.77,0.0,0.0
2021-06-01,6.77,0.0,0.0
2021-05-31,6.77,0.01,0.14793
2021-05-27,6.76,0.01,0.14815
2021-05-26,6.75,0.0,0.0
2021-05-25,6.75,0.0,0.0
2021-05-24,6.75,0.01,0.14837
2021-05-20,6.74,0.01,0.14859
2021-05-19,6.73,0.0,0.0
2021-05-18,6.73,-0.02,-0.2963
2021-05-17,6.75,0.0,0.0
2021-05-16,6.75,-0.03,-0.44248
2021-05-13,6.78,0.0,0.0
2021-05-11,6.78,-0.01,-0.14728
2021-05-10,6.79,-0.02,-0.29369
2021-05-09,6.81,0.01,0.14706
2021-05-06,6.8,0.0,0.0
2021-05-05,6.8,0.01,0.14728
2021-05-04,6.79,0.0,0.0
2021-05-03,6.79,0.0,0.0
2021-05-02,6.79,0.01,0.14749
2021-04-29,6.78,0.0,0.0
2021-04-28,6.78,0.0,0.0
2021-04-27,6.78,0.0,0.0
2021-04-26,6.78,-0.02,-0.29412
2021-04-25,6.8,0.0,0.0
2021-04-22,6.8,0.0,0.0
2021-04-21,6.8,0.01,0.14728
2021-04-20,6.79,-0.01,-0.14706
2021-04-19,6.8,-0.01,-0.14684
2021-04-18,6.81,0.0,0.0
2021-04-15,6.81,0.01,0.14706
2021-04-14,6.8,-0.03,-0.43924
2021-04-13,6.83,0.01,0.14663
2021-04-12,6.82,-0.01,-0.14641
2021-04-11,6.83,0.0,0.0
2021-04-08,6.83,0.0,0.0
2021-04-07,6.83,0.0,0.0
2021-04-06,6.83,0.01,0.14663
2021-04-05,6.82,0.03,0.44183
2021-03-31,6.79,0.02,0.29542
2021-03-30,6.77,0.01,0.14793
2021-03-29,6.76,0.03,0.44577
2021-03-28,6.73,-0.03,-0.44379
2021-03-25,6.76,0.0,0.0
2021-03-24,6.76,0.0,0.0
2021-03-23,6.76,0.01,0.14815
2021-03-22,6.75,0.02,0.29718
2021-03-21,6.73,0.01,0.14881
2021-03-18,6.72,-0.02,-0.29674
2021-03-17,6.74,-0.01,-0.14815
2021-03-16,6.75,-0.02,-0.29542
2021-03-15,6.77,0.0,0.0
2021-03-14,6.77,-0.04,-0.58737
2021-03-11,6.81,0.01,0.14706
2021-03-10,6.8,0.01,0.14728
2021-03-09,6.79,-0.01,-0.14706
2021-03-08,6.8,0.0,0.0
2021-03-07,6.8,-0.01,-0.14684
2021-03-04,6.81,-0.02,-0.29283
2021-03-03,6.83,0.0,0.0
2021-03-02,6.83,0.0,0.0
2021-03-01,6.83,0.02,0.29369
2021-02-28,6.81,0.0,0.0
2021-02-25,6.81,-0.02,-0.29283
2021-02-24,6.83,0.0,0.0
2021-02-23,6.83,0.0,0.0
2021-02-22,6.83,0.0,0.0
2021-02-21,6.83,-0.01,-0.1462
2021-02-18,6.84,0.0,0.0
2021-02-17,6.84,-0.01,-0.14599
2021-02-16,6.85,0.0,0.0
2021-02-15,6.85,-0.03,-0.43605
2021-02-11,6.88,-0.01,-0.14514
2021-02-10,6.89,0.0,0.0
2021-02-09,6.89,0.01,0.14535
2021-02-08,6.88,0.01,0.14556
2021-02-07,6.87,0.01,0.14577
2021-02-04,6.86,0.01,0.14599
2021-02-03,6.85,0.01,0.1462
2021-02-02,6.84,0.01,0.14641
2021-02-01,6.83,0.01,0.14663
2021-01-31,6.82,0.0,0.0
2021-01-28,6.82,0.0,0.0
2021-01-27,6.82,0.0,0.0
2021-01-26,6.82,-0.01,-0.14641
2021-01-25,6.83,0.0,0.0
2021-01-24,6.83,0.01,0.14663
2021-01-21,6.82,-0.02,-0.2924
2021-01-20,6.84,0.0,0.0
2021-01-19,6.84,0.01,0.14641
2021-01-18,6.83,0.01,0.14663
2021-01-14,6.82,-0.03,-0.43796
2021-01-13,6.85,0.0,0.0
